abs_x=1634.0, abs_y=1850.0, text='[4eke' (conf=0.11)
abs_x=852.5, abs_y=1848.5, text='do 282LIIS' (conf=0.06)
abs_x=2069.5, abs_y=1839.0, text='11.3' (conf=0.15)
abs_x=582.5, abs_y=1846.5, text='Jo' (conf=0.16)
abs_x=1250.0, abs_y=1853.5, text='Ooo' (conf=0.03)
abs_x=419.0, abs_y=1847.0, text='03' (conf=0.08)
abs_x=1879.0, abs_y=1871.5, text='Hgl' (conf=0.20)
abs_x=2522.5, abs_y=1879.0, text='iso' (conf=0.53)
abs_x=399.0, abs_y=1908.5, text='83' (conf=0.47)
abs_x=2117.5, abs_y=1880.0, text='1762' (conf=0.42)
abs_x=2373.5, abs_y=1886.5, text='0' (conf=0.65)
abs_x=586.5, abs_y=1927.5, text='014' (conf=0.19)
abs_x=1419.0, abs_y=1923.5, text='242' (conf=0.42)
abs_x=931.5, abs_y=1940.5, text='22'3L' (conf=0.39)
abs_x=1256.5, abs_y=1934.0, text='2,0' (conf=0.67)
abs_x=753.5, abs_y=1943.5, text='29' (conf=0.11)
abs_x=2068.5, abs_y=1932.0, text='(7.71' (conf=0.70)
abs_x=1091.0, abs_y=1942.0, text='17' (conf=0.41)
abs_x=1658.5, abs_y=1950.0, text='42l52' (conf=0.37)
abs_x=1887.0, abs_y=1952.5, text='4.6' (conf=0.26)
abs_x=1440.0, abs_y=1994.0, text='es' (conf=0.07)
abs_x=2337.5, abs_y=1964.5, text='5elbe' (conf=0.38)
abs_x=2511.5, abs_y=1970.5, text='JL' (conf=0.14)
abs_x=2102.0, abs_y=1997.5, text='15z24' (conf=0.12)
abs_x=397.5, abs_y=2003.5, text='23,' (conf=0.40)
abs_x=590.0, abs_y=2015.0, text='|or' (conf=0.11)
abs_x=1093.0, abs_y=2027.5, text='49' (conf=0.76)
abs_x=1250.5, abs_y=2024.5, text='2.0' (conf=0.99)
abs_x=2327.5, abs_y=2054.5, text='32/35' (conf=0.51)
abs_x=266.0, abs_y=2019.0, text='2' (conf=1.00)
abs_x=845.0, abs_y=2033.0, text='22 '37/23.2' (conf=0.47)
abs_x=1635.0, abs_y=2047.5, text='Lxh2L' (conf=0.47)
abs_x=1888.5, abs_y=2053.0, text='4.31' (conf=0.59)
abs_x=2119.5, abs_y=2062.0, text='TE8' (conf=0.14)
abs_x=2532.5, abs_y=2081.0, text='LYF' (conf=0.27)
abs_x=190.0, abs_y=2067.5, text='TZ' (conf=0.34)
abs_x=395.0, abs_y=2071.0, text='2os' (conf=0.20)
abs_x=1431.5, abs_y=2121.5, text='S44' (conf=0.23)
abs_x=1644.0, abs_y=2132.0, text='holul' (conf=0.22)
abs_x=574.0, abs_y=2111.0, text='11 1' (conf=0.11)
abs_x=421.0, abs_y=2115.0, text='223' (conf=0.30)
abs_x=1091.0, abs_y=2123.5, text='Lb' (conf=0.81)
abs_x=757.5, abs_y=2123.0, text='2332' (conf=1.00)
abs_x=1246.0, abs_y=2123.0, text='2.0' (conf=0.53)
abs_x=930.5, abs_y=2128.0, text='0.S' (conf=0.45)
abs_x=2066.5, abs_y=2119.5, text='(7.7 |' (conf=0.24)
abs_x=2332.5, abs_y=2139.5, text='5e/5' (conf=0.27)
abs_x=216.5, abs_y=2132.5, text='nasle' (conf=0.09)
abs_x=1886.5, abs_y=2141.0, text='431' (conf=0.31)
abs_x=2514.5, abs_y=2161.5, text='L5L' (conf=0.86)
abs_x=2150.5, abs_y=2160.5, text='Jo' (conf=0.20)
abs_x=370.5, abs_y=2169.0, text='728' (conf=0.31)
abs_x=1427.0, abs_y=2207.0, text='Se' (conf=0.29)
abs_x=577.0, abs_y=2201.5, text='1/3' (conf=0.10)
abs_x=220.0, abs_y=2198.5, text='7a6' (conf=0.57)
abs_x=933.0, abs_y=2213.5, text='Eh' (conf=0.33)
abs_x=1654.0, abs_y=2226.0, text='4e[42' (conf=0.69)
abs_x=420.0, abs_y=2213.5, text='221' (conf=0.55)
abs_x=1252.5, abs_y=2213.5, text='20' (conf=0.65)
abs_x=1062.5, abs_y=2214.5, text='5' (conf=1.00)
abs_x=786.5, abs_y=2218.5, text='4z' (conf=0.29)
abs_x=1875.5, abs_y=2231.0, text='42L' (conf=0.22)
abs_x=2328.0, abs_y=2236.5, text='5t/ Bx' (conf=0.10)
abs_x=2524.5, abs_y=2244.0, text='Lk)' (conf=0.12)
abs_x=2111.0, abs_y=2251.5, text='1+' (conf=0.34)
abs_x=203.5, abs_y=2252.0, text='142' (conf=0.29)
abs_x=383.0, abs_y=2265.0, text='2222' (conf=0.40)
abs_x=1423.0, abs_y=2288.0, text='g `i 2' (conf=0.16)
abs_x=1619.0, abs_y=2307.0, text='4e/' (conf=0.30)
abs_x=588.0, abs_y=2294.5, text='(67' (conf=0.31)
abs_x=2072.5, abs_y=2299.0, text='07-2J' (conf=0.45)
abs_x=936.5, abs_y=2307.5, text='24S' (conf=0.70)
abs_x=412.0, abs_y=2302.0, text='Ia [' (conf=0.61)
abs_x=752.5, abs_y=2304.0, text='K:6' (conf=0.06)
abs_x=1877.0, abs_y=2316.5, text='4.34' (conf=0.48)
abs_x=1254.5, abs_y=2309.0, text='2 `0' (conf=0.36)
abs_x=1716.0, abs_y=2325.5, text='42' (conf=0.33)
abs_x=2319.5, abs_y=2331.5, text='Selso' (conf=0.60)
abs_x=2520.0, abs_y=2331.5, text='(Y 2' (conf=0.34)
abs_x=1456.0, abs_y=2327.0, text='81B2' (conf=0.18)
abs_x=2109.0, abs_y=2349.0, text='7zs' (conf=0.55)
abs_x=514.0, abs_y=3180.5, text='R_ChIfT' (conf=0.18)
abs_x=830.5, abs_y=3185.5, text='343' (conf=0.03)
